"","team_name","domain","Month.7","Month.8","Month.9","Month.10","Month.11","Month.12","mean_abs_error_w2","MASE1_w2","Method.code","phase","revised"
"89","polarization-2020CO","easian",0.11,0.09,0.07,0.08,0.07,0.07,0.258151875,4.36367778271277,"Intuition/Theory",1,1
"90","md2000","easian",0.15,0.1,0.1,0.1,0.05,0.05,0.268151875,4.53271307570503,"Intuition/Theory",1,0
"91","Broken Mirror Neurons","easian",0.2,0.16,0.15,0.06,0.04,0.05,0.286485208333333,4.84261111285752,"Intuition/Theory",1,1
"92","CheeseCake","easian",0.11,0.12,0.12,0.12,0.11,0.1,0.289818541666667,4.89895621052161,"Intuition/Theory",1,0
"93","Imielin","easian",0.15,0.14,0.13,0.14,0.14,0.13,0.314818541666667,5.32154444300227,"Intuition/Theory",1,1
"94","NYHC","easian",0.19,0.18,0.18,0.17,0.17,0.16,0.351485208333333,5.94134051730724,"Intuition/Theory",1,0
"95","Mr Muddle","easian",0.32,0.25,0.22,0.2,0.18,0.15,0.396485208333333,6.70199933577244,"Intuition/Theory",1,1
"96","Turing Tesla Solutions","easian",0.3,0.3,0.3,0.3,0.3,0.3,0.476485208333333,8.05428167971056,"Data-Driven",1,0
"97","CheeseCake","easian",0.4,0.4,0.4,0.4,0.4,0.4,0.576485208333333,9.74463460963321,"Intuition/Theory",2,0
"98","Polarization Disciples","egend",0.782038232688344,0.776208363591386,0.771767949626126,0.765536808040151,0.760295988793337,0.758657137499025,0.0198388299980112,0.511232423808879,"Data-Driven",2,0
"99","Bluebirds","egend",0.769141,0.766651,0.764162,0.761673,0.759184,0.757014,0.0207086356666667,0.533646692204447,"Data-Driven",1,1
"100","The Well-Adjusted R Squares","egend",0.7667509,0.7641511,0.7615513,0.7589514,0.7563516,0.7537518,0.0207434856666667,0.534544751715593,"Hybrid",1,0
"101","The Well-Adjusted R Squares","egend",0.7667509,0.7641511,0.7615513,0.7589514,0.7563516,0.7537518,0.0207434856666667,0.534544751715593,"Data-Driven",2,0
"102","fearfulastra","egend",0.771,0.769,0.766,0.763,0.761,0.758,0.020843469,0.537121250523518,"Data-Driven",1,1
"103","MLTS","egend",0.774977489868951,0.773678117359703,0.772378744850455,0.771079372341206,0.769779999831958,0.76848062732271,0.0209602402484585,0.540130361866607,"Data-Driven",1,1
"104","scaled-humanity","egend",0.761422,0.7649535,0.77583457,0.7621613,0.8001023,0.786429,0.0217653906666667,0.560878510818564,"Data-Driven",2,0
