"","team_name","domain","Month.1","Month.2","Month.3","Month.4","Month.5","Month.6","Month.7","Month.8","Month.9","Month.10","Month.11","Month.12","mean_abs_error_w1","MASE1_w1","Method.code"
"132","Sociology","ideoldem",44,45,46,46,47,47,47,47,47,47,47,47,2.336325263,2.19931245,"Intuition/Theory"
"133","Junesix","ideoldem",45,45,46,46,45,45,46,46,46,47,46,47,2.336325263,2.19931245,"Data-Driven"
"134","IPZ_predi","ideoldem",45.66407776,44.43851089,44.58535385,44.73219681,44.87904358,45.02588654,45.17272949,45.31957245,43.70429611,43.85113907,43.99798203,44.14482498,2.44049121,2.297369628,"Data-Driven"
"135","Old Chickens","ideoldem",43.60695583,43.69154537,43.77340621,44.52370772,46.37584803,47.88992008,48.05855248,47.25694823,46.39644324,45.69618755,44.82008803,44.5210686,2.595533044,2.4433191,"Data-Driven"
"136","md2000","ideoldem",44,45,45,46,47,47,48,48,48,48,47,46,2.609052535,2.456045746,"Intuition/Theory"
"137","fearfulastra","ideoldem",42.945,44.35,43.841,44.432,45.084,45.88,45.97,46.058,46.148,46.238,46.319,46.409,2.741961626,2.581160439,"Data-Driven"
"138","Heisenburg","ideoldem",42.02,43.5,43.04,43.68,44.42,45.31,46.39,46.37,45.26,45.26,44.98,43.78,3.044507081,2.865963243,"Data-Driven"
"139","StatFore","ideoldem",43.90914941,43.9195841,43.93001879,43.94045348,43.95088818,43.96132287,43.97175756,43.98219225,43.99262694,44.00306163,44.01349632,44.02393102,3.186442285,2.999574716,"Data-Driven"
"140","MLTS","ideoldem",43.88647638,43.9003893,43.91430223,43.92821515,43.94212807,43.95604099,43.96995391,43.98386683,43.99777976,44.01169268,44.0256056,44.03951852,3.190775554,3.003653862,"Data-Driven"
"141","Bordeaux","ideoldem",43.868,43.868,43.868,43.868,43.959,44.076,44.084,44.091,43.868,43.868,43.868,43.868,3.215520068,3.026947245,"Data-Driven"
"142","Erebuni","ideoldem",44,43,42,42,43,45,46,46,46,45,44,43,3.381779808,3.183456752,"Intuition/Theory"
"143","LongerSquigglyLines","ideoldem",43.75,43.75,43.75,43.75,43.75,43.75,43.75,43.75,43.75,43.75,43.75,43.75,3.400610977,3.201183576,"Data-Driven"
"144","BRTWN","ideoldem",43.75,43.75,43.75,43.75,43.75,43.75,43.75,43.75,43.75,43.75,43.75,43.75,3.400610977,3.201183576,"Data-Driven"
"145","The Bingo Jingoists","ideoldem",42.96,42.03,43.05,42.45,43.56,44.24,45.88,44.02,45.76,43.99,44.09,45.65,3.608792795,3.397156659,"Hybrid"
